Date,Price
,INDY
2015-07-27,26.003313064575195
2015-07-28,26.1258544921875
2015-07-29,26.34465980529785
2015-07-30,26.432188034057617
2015-07-31,26.834794998168945
2015-08-03,26.66849708557129
2015-08-04,26.756023406982422
2015-08-05,26.948579788208008
2015-08-06,26.81728744506836
2015-08-07,26.87855339050293
2015-08-10,26.81728744506836
2015-08-11,26.3008975982666
2015-08-12,25.731992721557617
2015-08-13,25.92454719543457
2015-08-14,26.370912551879883
2015-08-17,26.003313064575195
2015-08-18,25.854528427124023
2015-08-19,25.985811233520508
2015-08-20,25.35564422607422
2015-08-21,24.375377655029297
2015-08-24,22.80869483947754
2015-08-25,23.298830032348633
2015-08-26,23.929000854492188
2015-08-27,24.489154815673828
2015-08-28,24.182823181152344
2015-08-31,23.999019622802734
2015-09-01,23.150039672851562
2015-09-02,23.473875045776367
2015-09-03,23.657676696777344
2015-09-04,22.782438278198242
2015-09-08,23.35134506225586
2015-09-09,23.22881507873535
2015-09-10,23.473875045776367
2015-09-11,23.7364501953125
2015-09-14,23.762706756591797
2015-09-15,23.823974609375
2015-09-16,24.29660415649414
2015-09-17,24.427888870239258
2015-09-18,24.06904411315918
2015-09-21,24.366621017456055
2015-09-22,23.692689895629883
2015-09-23,23.657676696777344
2015-09-24,23.788969039916992
2015-09-25,23.806472778320312
2015-09-28,23.325088500976562
2015-09-29,23.692689895629883
2015-09-30,24.41913414001465
2015-10-01,24.24409294128418
2015-10-02,24.6992130279541
2015-10-05,25.39940643310547
2015-10-06,25.110572814941406
2015-10-07,25.390647888183594
2015-10-08,25.443164825439453
2015-10-09,25.486928939819336
2015-10-12,25.19809913635254
2015-10-13,24.89176368713379
2015-10-14,24.918020248413086
2015-10-15,25.373146057128906
2015-10-16,25.749496459960938
2015-10-19,25.513187408447266
2015-10-20,25.521934509277344
2015-10-21,25.25936508178711
2015-10-22,25.72324562072754
2015-10-23,25.82826805114746
2015-10-26,25.556949615478516
2015-10-27,25.29437255859375
2015-10-28,24.996793746948242
2015-10-29,24.716716766357422
2015-10-30,24.489154815673828
2015-11-02,24.725467681884766
2015-11-03,24.6992130279541
2015-11-04,24.384126663208008
2015-11-05,24.209081649780273
2015-11-06,24.20032501220703
2015-11-09,23.596410751342773
2015-11-10,23.50013542175293
2015-11-11,23.447622299194336
2015-11-12,23.325088500976562
2015-11-13,23.298830032348633
2015-11-16,23.90274429321289
2015-11-17,23.710193634033203
2015-11-18,23.64892578125
2015-11-19,23.70144271850586
2015-11-20,23.797718048095703
2015-11-23,23.552648544311523
2015-11-24,23.640172958374023
2015-11-25,23.640172958374023
2015-11-27,23.657676696777344
2015-11-30,23.885244369506836
2015-12-01,23.990270614624023
2015-12-02,23.578914642333984
2015-12-03,23.263822555541992
2015-12-04,23.561403274536133
2015-12-07,23.167543411254883
2015-12-08,22.948740005493164
2015-12-09,22.764938354492188
2015-12-10,22.948740005493164
2015-12-11,22.397335052490234
2015-12-14,22.773693084716797
2015-12-15,23.027507781982422
2015-12-16,23.438871383666992
2015-12-17,23.447622299194336
2015-12-18,23.395105361938477
2015-12-21,23.681814193725586
2015-12-22,23.620441436767578
2015-12-23,23.909778594970703
2015-12-24,23.89223861694336
2015-12-28,23.874710083007812
2015-12-29,23.901004791259766
2015-12-30,23.716888427734375
2015-12-31,23.83963394165039
2016-01-04,23.38370704650879
2016-01-05,23.506460189819336
2016-01-06,23.182052612304688
2016-01-07,22.445558547973633
2016-01-08,22.401714324951172
2016-01-11,22.664751052856445
2016-01-12,22.603376388549805
2016-01-13,22.366647720336914
2016-01-14,22.506935119628906
2016-01-15,21.866886138916016
2016-01-19,21.83180809020996
2016-01-20,21.53370475769043
2016-01-21,21.551240921020508
2016-01-22,22.11237907409668
2016-01-25,21.779207229614258
2016-01-26,22.077308654785156
2016-01-27,21.840576171875
2016-01-28,21.945789337158203
2016-01-29,22.612144470214844
2016-02-01,22.41925048828125
2016-02-02,21.81427764892578
2016-02-03,22.068540573120117
2016-02-04,22.09484100341797
2016-02-05,22.042236328125
2016-02-08,21.83180809020996
2016-02-09,21.54247283935547
2016-02-10,21.209299087524414
2016-02-11,20.54294776916504
2016-02-12,20.7358341217041
2016-02-16,20.762142181396484
2016-02-17,21.14792251586914
2016-02-18,20.990102767944336
2016-02-19,20.98133659362793
2016-02-22,21.35835075378418
2016-02-23,20.797208786010742
2016-02-24,20.727067947387695
2016-02-25,20.595552444458008
2016-02-26,20.43773078918457
2016-02-29,20.64815330505371
2016-03-01,21.726594924926758
2016-03-02,22.208824157714844
2016-03-03,22.34033966064453
2016-03-04,22.708587646484375
2016-03-07,22.603376388549805
2016-03-08,22.200054168701172
2016-03-09,22.52446174621582
2016-03-10,22.35787582397461
2016-03-11,22.708587646484375
2016-03-14,22.58584213256836
2016-03-15,22.331573486328125
2016-03-16,22.840105056762695
2016-03-17,22.840105056762695
2016-03-18,23.07683563232422
2016-03-21,23.33987045288086
2016-03-22,23.269731521606445
2016-03-23,23.138212203979492
2016-03-24,23.138212203979492
2016-03-28,23.041770935058594
2016-03-29,23.252195358276367
2016-03-30,23.541528701782227
2016-03-31,23.585365295410156
2016-04-01,23.57659912109375
2016-04-04,23.523996353149414
2016-04-05,22.90148162841797
2016-04-06,23.14698028564453
2016-04-07,22.577072143554688
2016-04-08,22.743661880493164
2016-04-11,23.138212203979492
2016-04-12,23.471385955810547
2016-04-13,23.83963394165039
2016-04-14,23.874710083007812
2016-04-15,23.89223861694336
2016-04-18,23.96238899230957
2016-04-19,24.29555892944336
2016-04-20,24.076364517211914
