Date,Price
,SMIN
2015-07-27,28.781225204467773
2015-07-28,28.992237091064453
2015-07-29,29.414247512817383
2015-07-30,29.66745376586914
2015-07-31,30.055706024169922
2015-08-03,30.081029891967773
2015-08-04,30.57056427001953
2015-08-05,30.9250545501709
2015-08-06,30.756248474121094
2015-08-07,30.79000473022461
2015-08-10,30.823772430419922
2015-08-11,30.04726791381836
2015-08-12,29.118837356567383
2015-08-13,29.093521118164062
2015-08-14,29.608379364013672
2015-08-17,29.22857093811035
2015-08-18,29.54929542541504
2015-08-19,29.54929542541504
2015-08-20,28.831876754760742
2015-08-21,27.709325790405273
2015-08-24,25.084407806396484
2015-08-25,25.60770034790039
2015-08-26,27.034099578857422
2015-08-27,27.86124610900879
2015-08-28,27.70088005065918
2015-08-31,27.28731346130371
2015-09-01,26.080350875854492
2015-09-02,26.637407302856445
2015-09-03,27.07630157470703
2015-09-04,25.860904693603516
2015-09-08,25.759626388549805
2015-09-09,25.708980560302734
2015-09-10,26.046592712402344
2015-09-11,26.603649139404297
2015-09-14,26.493925094604492
2015-09-15,26.78089141845703
2015-09-16,27.01721954345703
2015-09-17,27.472991943359375
2015-09-18,27.042545318603516
2015-09-21,27.523637771606445
2015-09-22,27.000337600708008
2015-09-23,27.118505477905273
2015-09-24,27.380151748657227
2015-09-25,27.17758560180664
2015-09-28,26.89061737060547
2015-09-29,27.219783782958984
2015-09-30,27.95408821105957
2015-10-01,28.055370330810547
2015-10-02,28.511144638061523
2015-10-05,28.907835006713867
2015-10-06,28.688392639160156
2015-10-07,29.144161224365234
2015-10-08,29.237003326416016
2015-10-09,28.950035095214844
2015-10-12,28.958477020263672
2015-10-13,28.857192993164062
2015-10-14,28.865629196166992
2015-10-15,29.49020767211914
2015-10-16,29.49864959716797
2015-10-19,29.29608154296875
2015-10-20,29.54085350036621
2015-10-21,29.422693252563477
2015-10-22,29.73497772216797
2015-10-23,29.439571380615234
2015-10-26,29.144161224365234
2015-10-27,29.2032470703125
2015-10-28,28.924715042114258
2015-10-29,28.409860610961914
2015-10-30,28.544902801513672
2015-11-02,28.409860610961914
2015-11-03,28.435184478759766
2015-11-04,28.004732131958008
2015-11-05,27.5489559173584
2015-11-06,27.32106590270996
2015-11-09,27.000337600708008
2015-11-10,26.958139419555664
2015-11-11,27.28731346130371
2015-11-12,26.991897583007812
2015-11-13,27.084741592407227
2015-11-16,27.667118072509766
2015-11-17,27.498315811157227
2015-11-18,27.4898681640625
2015-11-19,27.83592414855957
2015-11-20,27.92032814025879
2015-11-23,27.7852840423584
2015-11-24,27.970964431762695
2015-11-25,27.827482223510742
2015-11-27,27.886564254760742
2015-11-30,28.435184478759766
2015-12-01,28.418302536010742
2015-12-02,27.95408821105957
2015-12-03,27.6080379486084
2015-12-04,28.063810348510742
2015-12-07,27.70088005065918
2015-12-08,27.346391677856445
2015-12-09,26.89906120300293
2015-12-10,27.152263641357422
2015-12-11,26.375761032104492
2015-12-14,26.75557518005371
2015-12-15,27.236665725708008
2015-12-16,27.498315811157227
2015-12-17,27.7852840423584
2015-12-18,27.633358001708984
2015-12-21,27.895620346069336
2015-12-22,28.202171325683594
2015-12-23,28.457626342773438
2015-12-24,28.508716583251953
2015-12-28,28.457626342773438
2015-12-29,28.32137680053711
2015-12-30,28.440597534179688
2015-12-31,28.338411331176758
2016-01-04,28.380985260009766
2016-01-05,28.70456314086914
2016-01-06,28.210689544677734
2016-01-07,27.452835083007812
2016-01-08,27.367687225341797
2016-01-11,27.597593307495117
2016-01-12,27.503929138183594
2016-01-13,26.61835479736328
2016-01-14,26.609838485717773
2016-01-15,25.28999137878418
2016-01-19,24.864233016967773
2016-01-20,24.302234649658203
2016-01-21,24.87274742126465
2016-01-22,25.264442443847656
2016-01-25,25.153751373291016
2016-01-26,25.22187042236328
2016-01-27,25.145233154296875
2016-01-28,25.145233154296875
2016-01-29,25.75832176208496
2016-02-01,25.485836029052734
2016-02-02,24.864233016967773
2016-02-03,24.804630279541016
2016-02-04,24.557687759399414
2016-02-05,24.600261688232422
2016-02-08,24.59174919128418
2016-02-09,24.19154167175293
2016-02-10,23.85944175720215
2016-02-11,22.948328018188477
2016-02-12,22.812082290649414
2016-02-16,22.735441207885742
2016-02-17,23.101594924926758
2016-02-18,22.812082290649414
2016-02-19,22.922780990600586
2016-02-22,23.152685165405273
2016-02-23,22.76950454711914
2016-02-24,22.718416213989258
2016-02-25,22.47998809814453
2016-02-26,22.045717239379883
2016-02-29,22.29265785217285
2016-03-01,23.459232330322266
2016-03-02,23.86795997619629
2016-03-03,24.225597381591797
2016-03-04,24.813138961791992
2016-03-07,24.906810760498047
2016-03-08,24.302234649658203
2016-03-09,24.719472885131836
2016-03-10,24.523624420166016
2016-03-11,24.813138961791992
2016-03-14,24.710960388183594
2016-03-15,24.438474655151367
2016-03-16,24.84720230102539
2016-03-17,25.145233154296875
2016-03-18,25.119686126708984
2016-03-21,25.43474578857422
2016-03-22,25.366628646850586
2016-03-23,25.187808990478516
2016-03-24,25.08562660217285
2016-03-28,25.12820053100586
2016-03-29,25.375137329101562
2016-03-30,25.71574592590332
2016-03-31,26.039321899414062
2016-04-01,26.13298797607422
2016-04-04,26.150020599365234
2016-04-05,25.409204483032227
2016-04-06,25.80941390991211
2016-04-07,25.238901138305664
2016-04-08,25.60505485534668
2016-04-11,26.167051315307617
2016-04-12,26.465078353881836
2016-04-13,26.677955627441406
2016-04-14,26.763107299804688
2016-04-15,26.626869201660156
2016-04-18,26.933408737182617
2016-04-19,27.282535552978516
